episode,total_reward
0,-91
1,-135
2,-129
3,-131
4,-122
5,-156
6,-132
7,-135
8,-150
9,-154
10,-165
11,-153
12,-108
13,-123
14,-119
15,-156
16,-137
17,-172
18,-178
19,-182
20,-153
21,-140
22,-157
23,-148
24,-152
25,-167
26,-166
27,-166
28,-145
29,-120
30,-165
31,-150
32,-172
33,-169
34,-178
35,-138
36,-188
37,-144
38,-170
39,-204
40,-173
41,-140
42,-175
43,-187
44,-161
45,-141
46,-127
47,-170
48,-158
49,-147
50,-168
51,-164
52,-172
53,-168
54,-148
55,-157
56,-157
57,-171
58,-141
59,-185
60,-159
61,-182
62,-163
63,-164
64,-120
65,-157
66,-159
67,-148
68,-146
69,-156
70,-166
71,-164
72,-151
73,-184
74,-176
75,-146
76,-129
77,-140
78,-126
79,-123
80,-147
81,-161
82,-168
83,-162
84,-133
85,-150
86,-159
87,-149
88,-150
89,-160
90,-141
91,-161
92,-148
93,-167
94,-163
95,-142
96,-193
97,-171
98,-177
99,-169
100,-184
101,-165
102,-206
103,-174
104,-155
105,-150
106,-109
107,-147
108,-159
109,-159
110,-187
111,-147
112,-173
113,-169
114,-144
115,-166
116,-172
117,-180
118,-150
119,-164
120,-153
121,-158
122,-142
123,-138
124,-152
125,-130
126,-163
127,-145
128,-100
129,-175
130,-187
131,-137
132,-162
133,-153
134,-165
135,-167
136,-123
137,-165
138,-177
139,-141
140,-162
141,-135
142,-172
143,-148
144,-151
145,-133
146,-131
147,-108
148,-75
149,-71
150,-81
151,-55
152,-88
153,-73
154,-120
155,-72
156,-108
157,-88
158,-84
159,-90
160,-55
161,-75
162,-109
163,-87
164,-76
165,-51
166,-62
167,-78
168,-65
169,-73
170,-59
171,-46
172,-45
173,-45
174,-51
175,-77
176,-70
177,-75
178,-92
179,-76
180,-80
181,-85
182,-57
183,-54
184,-64
185,-53
186,-58
187,-73
188,-27
189,-84
190,-68
191,-102
192,-96
193,-80
194,-89
195,-92
196,-56
197,-85
198,-71
199,-73
200,-71
201,-72
202,-83
203,-78
204,-116
205,-100
206,-76
207,-80
208,-79
209,-87
210,-56
211,-54
212,-63
213,-64
214,-67
215,-106
216,-94
217,-108
218,-25
219,-50
220,-68
221,-76
222,-85
223,-85
224,-65
225,-91
226,-52
227,-66
228,-98
229,-85
230,-81
231,-44
232,-68
233,-75
234,-101
235,-74
236,-54
237,-80
238,-72
239,-78
240,-47
241,-55
242,-106
243,-62
244,-62
245,-73
246,-66
247,-67
248,-60
249,-77
250,-58
251,-61
252,-101
253,-73
254,-59
255,-101
256,-54
257,-70
258,-74
259,-90
260,-37
261,-58
262,-72
263,-82
264,-89
265,-59
266,-94
267,-85
268,-132
269,-104
270,-57
271,-93
272,-120
273,-73
274,-82
275,-63
276,-66
277,-44
278,-61
279,-54
280,-54
281,-42
282,-44
283,-75
284,-51
285,-47
286,-62
287,-33
288,-81
289,-95
290,-41
291,-51
292,-65
293,-74
294,-65
295,-94
296,-96
297,-37
298,-58
299,-62
